Name,Ortnr/Stationsnr,Latitude,Longitude,Elevation,Time zone,Dry bulb min winter,Dry bulb max winter,Wet bulb max winter,Wind direction winter,Wind speed winter,Dry bulb min summer,Dry bulb max summer,Wet bulb max summer,Wind direction summer,Wind speed summer,Country,Source,Design data file,Type,
Storuman,102909,65.1,17.11,Nan,1,-28.8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Strängnäs,102416,59.37,17.02,Nan,1,-18.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Strömstad,102221,58.94,11.19,Nan,1,-14.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Strömsund,102814,63.85,15.56,Nan,1,-25,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Sundbyberg,102640,59.38,17.96,Nan,1,-16.2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Sundsvall,102805,62.39,17.31,Nan,1,-22.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Sunne,102504,59.84,13.15,Nan,1,-21.8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Surahammar,102636,59.71,16.22,Nan,1,-19,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Svalöv,102126,55.91,13.11,Nan,1,-11.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Svedala,102122,55.51,13.24,Nan,1,-11.2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Sveg,102802,62.04,14.36,Nan,1,-28.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Svenljunga,102245,57.5,13.12,Nan,1,-15.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Svenstavik,102821,62.77,14.44,Nan,1,-25.7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Säffle,102502,59.13,12.92,Nan,1,-18.4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Sälen-Högfjällshotell,102714,61.09,13.23,Nan,1,-28.7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Särna,102713,61.71,13.13,Nan,1,-27.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Säter,102703,60.35,15.74,Nan,1,-20.4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Sävsjö,102334,57.4,14.66,Nan,1,-16.2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Såtenäs,102518,58.44,12.71,Nan,1,-15,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Söderhamn,102719,61.31,17.08,Nan,1,-19.2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Söderköping,102421,58.47,16.34,Nan,1,-15.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Södertälje,102608,59.19,17.63,Nan,1,-16.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Sölvesborg,102115,56.05,14.6,Nan,1,-11.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Tanum,102247,58.73,11.33,Nan,1,-13.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Tibro,102241,58.42,14.17,Nan,1,-15.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Tidaholm,102251,58.18,13.95,Nan,1,-15.4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Tierp,102619,60.35,17.52,Nan,1,-17.7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Timrå,102822,62.5,17.33,Nan,1,-23.2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Tingsryd,102305,56.53,14.97,Nan,1,-13.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Tjörn,102237,58,11.55,Nan,1,-12.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Tomelilla,102123,55.55,13.94,Nan,1,-11.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Torsby,102505,60.13,13.01,Nan,1,-22.8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Torsås,102306,56.41,16,Nan,1,-11.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Tranemo,102250,57.48,13.35,Nan,1,-15.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Tranås,102328,58.03,14.98,Nan,1,-15.7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Trelleborg,102101,55.38,13.17,Nan,1,-10.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
